case_name,reference_file,rtl_file,L,d_model,d_state_N,expand,d_inner,seed,sample_count,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_signed_error_bias,relative_mae_percent,mae_lsb,max_absolute_error_lsb,rounded_q16_exact_count,rounded_q16_exact_percent,rounded_q16_within_1_lsb_percent,case_name;reference_file;rtl_file;L;d_model;d_state_N;expand;d_inner;seed;sample_count;mae;rmse;median_absolute_error;p95_absolute_error;max_absolute_error;mean_signed_error_bias;relative_mae_percent;mae_lsb;max_absolute_error_lsb;rounded_q16_exact_count;rounded_q16_exact_percent;rounded_q16_within_1_lsb_percent,
case_L8_D16_N16_E2_B1_seed0;y_origin_answer.txt;C:\Users\water\Desktop\VHDL\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L8_D16_N16_E2_B1_seed0\test_out_0.txt;8;16;16;2;32;0;256;0.000980283725738525;0.001138232930103527;0.0009822612304687464;0.0018256359863281293;0.0024584345703124733;0.00013463984298706108;0.6405903492830082;6.424.387.424.999.990;16.111.596.799.999.800;0;00.00;1.953.125,00
case_L4_D16_N16_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L4_D16_N16_E2_B1_seed0\test_out_0.txt;4;16;16;2;32;0;128;0.0010581384506225578;0.0012043934586228704;0.0011188178710937486;0.0018756271484374999;0.0024584345703124733;0.00026186313629150346;0.7338075915270974;6.934.616.149.999.990;16.111.596.799.999.800;0;00.00;15.625,00
case_L16_D16_N16_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L16_D16_N16_E2_B1_seed0\test_out_0.txt;16;16;16;2;32;0;512;0.0009422381076812742;0.0010992010467598986;0.0009532641601562725;0.0018144719238281266;0.0024584345703124733;0.00014305739021301336;0.5748503984322828;6.175.051.662.499.990;16.111.596.799.999.800;3;0.5859375;15.625,00
case_L32_D16_N16_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L32_D16_N16_E2_B1_seed0\test_out_0.txt;32;16;16;2;32;0;1024;0.0009372300090789796;0.001095911838523844;0.0009325810546874924;0.0018316668945312499;0.0024584345703124733;9,['10E+09;0.5709086624671902;61.422.305.875.000.000;16.111.596.799.999.800;5;0.48828125;166.015.625']
case_L8_D16_N8_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L8_D16_N8_E2_B1_seed0\test_out_0.txt;8;16;8;2;32;0;256;0.0010353625373840341;0.0011997142675336174;0.0010248051757812404;0.0019143740234374776;0.00247970312500001;-3,53E+10;0.61992337910188;6.785.351.925.000.000;16.250.982.400.000.000;2;0.78125;1.953.125,,,,,,,,,,,,,,,,,,,,,,
case_L8_D16_N32_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L8_D16_N32_E2_B1_seed0\test_out_0.txt;8;16;32;2;32;0;256;0.0009773508262634273;0.0011477942628671078;0.0009773164062499978;0.0019123630371093757;0.0026155488281250083;2,['89E+10;0.5867601268645883;6.405.166.374.999.990;17.141.260.800.000.000;1;0.390625;1.953.125']
case_L8_D8_N16_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L8_D8_N16_E2_B1_seed0\test_out_0.txt;8;8;16;2;16;0;128;0.000994860160827635;0.0011501079107923292;0.0009341562499999984;0.0018554483886718668;0.002111462890624999;9,06E+10;0.5598767666491005;6.519.915.549.999.980;13.837.683.199.999.900;0;00.00;0.78125
case_L8_D32_N16_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L8_D32_N16_E2_B1_seed0\test_out_0.txt;8;32;16;2;64;0;512;0.0009539776458740233;0.0011089858703127956;0.0009421176757812566;0.001871955761718756;0.0024828623046875;-3,['48E+11;0.6238227149439084;6.251.987.899.999.990;162.716.864;4;0.78125;13.671.875']
case_L4_D8_N8_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L4_D8_N8_E2_B1_seed0\test_out_0.txt;4;8;8;2;16;0;64;0.0009706262817382805;0.0011093088782831145;0.0009460947265624992;0.0018712448730468748;0.00196244335937501;0.00011729977416992087;0.6639254877286164;6.361.096.399.999.990;12.861.068.800.000.000;0;00.00;15.625,,,,,,,,,,,,,,,,,,,,,,,
case_L16_D16_N32_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L16_D16_N32_E2_B1_seed0\test_out_0.txt;16;16;32;2;32;0;512;0.0010047068061828617;0.0011909554095630415;0.0009526865234374959;0.002064010009765631;0.0032260937500000475;7,['78E+10;0.5887668115110779;6.584.446.525.000.000;2.114.252.800.000.030;2;0.390625;13.671.875']
case_L16_D32_N16_E2_B1_seed0;y_origin_answer.txt;C:\mamba\Mamba_By_System-Verilog\testbench_generator\generated_cases\case_L16_D32_N16_E2_B1_seed0\test_out_0.txt;16;32;16;2;64;0;1024;0.0009406214342117304;0.0011020477981930452;0.0009420786132812442;0.0018536094726562535;0.0031581074218750005;-4,['56E+11;0.5676108587532337;6.164.456.631.249.990;20.696.972.800.000.000;4;0.390625;1.171.875']
